en,fr,de,vi
pricker bar,grinchoir,Rostputzer,
pricking up,piquage,Stochern,
primary air/gas ratio,rapport air primaire/gaz,Gas/Erstluft-Verhaeltnis,
primary battery,batterie primaire,Primärbatterie,
primary block,bloc primaire,Primärblock,
primary cell,élément primaire,Primärelement,
primary channel,voie principale,Primärkanal,
primary circuit,circuit primaire,Primärstromkreis,
primary circuit,circuit primaire,Primärstromkreis,
primary circuit-breaker,disjoncteur,Ofenschalter,
primary coating,revêtement primaire,Primärbeschichtung,
primary control,réglage primaire,Primaerregelung,
primary depolarization effect,effet de dépolarisation prédominant,vorherrschender Depolarisationseffekt,
primary detector,détecteur primaire,Aufnehmer,
primary education,formation générale de base,allgemeine Grundbildung,
primary failure,défaillance première,Primärausfall,
primary feed heating,réchauffage de l'eau d'alimentation,Speisewasservorwaermung,
primary firing relay,relais d'amorçage,Zündrelais,
primary frequency standard,étalon primaire de fréquence,primärer Frequenzstandard,
primary fuel cell,pile directe,direkte Brennstoffzelle,
primary group,groupe primaire,Primärgruppe,
primary impounding area,zone de rétention primaire,erstes Abteil der Auffangwanne,
primary lithium battery,batterie primaire au lithium,primäre Lithiumbatterie,
primary low tension coil,enroulement primaire à basse tension,Primaerwicklung fuer Niederspannung,
primary meter,compteur général,Hauptzähler,
primary multiplex system,système de multiplexage primaire,primäres Multiplexsystem,
primary no load voltage,tension primaire à vide,Primaer-Leerlaufspannung,
primary path,trajet principal,erster Leitweg,
primary PCM group,group primaire MIC,PCM-Primärgruppe,
primary PCM multiplex equipment,multiplex primaire MIC,Multiplexeinrichtung der PCM-Primärgruppe,
primary photocurrent,photocourant primaire,primärer Fotostrom | Photostrom,
primary porosity,porosité primaire,primäre Porosität,
primary power,puissance au primaire,Primärleistung,
primary power supply,alimentation en énergie primaire,Primärstromversorgung,
primary power supply,alimentation principale,Haupteinspeisung,
primary protection,protection principale,Hauptschutz,
primary radar,radiodétection primaire,Primärradar,
primary radiator,élément primaire,Primärstrahler,
primary rate access,raccordement par accès à débit primaire,Primärmultiplexanschluß,
primary reformer,réacteur de réformage primaire,Primärreformer,
primary satellite,satellite principal,Hauptsatellit,
primary series circuit,circuit principal,Hauptstromkreis,
primary side,primaire,Primärseite,
primary speed control of the generating sets,réglage primaire de vitesse,Primärregelung,
primary standard of light,étalon primaire de lumière,Primärnormal,
primary testing,essai par alimentation du primaire,Primaerpruefung,
primary time,temps primaire,Uhrzeit,
primary time standard,étalon primaire de temps,Urmaß der Zeit,
primary voltage regulator,régulateur de tension au point de distribution,Primärspannungsregler,
primary waves,ondes primaires,Primärwellen,
primary winding,enroulement primaire,Primärwicklung,
primary-electron emission,émission électronique primaire,Primärelektronenemission,
prime focus-fed antenna,antenne à alimentation primaire focale,Antenne mit Einspeisung durch den Hauptbrennpunkt,
prime power,énergie primaire,Betriebsstrom,
primer electrode,électrode d'entretien,Vorionisator,
primer ignition,amorçage,Vorzündung,
primer noise,bruit d'amorçage,Rauschen durch Vorionisierung,
primer voltage,tension d'amorçage,Vorionisatorspannung,
priming,apprêtage,Vorbereitung,
priming aperture,ouverture de préionisation,Vorionisationslochblende,
priming rate,rapidité d'apprêtage,Vorbereitungszeit,
priming section,section de préionisation,Vorionisationsraum,
priming speed,vitesse d'apprêtage,Vorbereitungsgeschwindigkeit,
primitive unit cell,cellule cristalline primaire,primitive Elementarzelle,
principal arm,bras principal,Hauptzweig,
principal axis,axe principal,Hauptachse,
principal current,courant principal,Hauptstrom,
principal tapping,prise principale,Hauptanzapfung,
principal voltage,tension principale,Hauptspannung,
principal voltage-current characteristic,caractéristique principale,Haupt-Strom/Spannungs-Kennlinie,
print and fire,impression et étuvage,Drucken und Zünden,
print-through effect,effet d'écho,Kopier-Echo,
print-through level,niveau d'empreinte magnétique,Kopier-Echo-Pegel,
printed circuit assembly,carte équipée,bestückte gedruckte Schaltung,
printed circuit board assy,plaque imprimée équipée,bestückte Leiterplatte,
printed circuit board connector,connecteur pour circuit imprimé,Steckverbinder für gedruckte Schaltung,
printed circuit board extractor,extracteur de cartes de circuit imprimé,Karten-Abziehvorrichtung,
printed component,composant imprimé,gedrucktes Bauteil,
printed contact,contact imprimé,gedruckter Leiterzug,
printed element,élément imprimé,gedrucktes Element,
printed marks,repères imprimés,gedruckte Zeichen,
printed value of a metered quantity,valeur imprimée de comptage,Druckerwert,
printed wiring,câblage imprimé,gedruckte Verdrahtung,
printed wiring board,circuit imprimé nu,gedruckte Schaltung,
printed wiring layout,implantation du câblage imprimé,gedrucktes Verdrahtungslay-out,
printed-circuit epoxy-type coatings,plaque de type epoxy pour circuit imprimé,Epoxyd-versiegelte gedruckte Schaltung,
printed-circuit rhodium plating,revêtement de rhodium pour circuit imprimé,Rhodiumbeschichtung für gedruckte Schaltungen,
printed-circuit special lacquers,vernis spéciaux pour circuit imprimé,Speziallacke für gedruckte Schaltungen,
printed-wiring assembly,assemblage sur circuit imprimé,Baugruppe in gedruckter Schaltung,
printed-wiring substrate,substrat pour circuit imprimé,Leiterplatte,
printer imager,imprimante/imageur,Drucker,
prion,prion,Prion,
priority,priorité,Vorrat,
priority channel,canal prioritaire,Prioritätskanal,
Priority Interrupt Controller,Priority Interrupt Controller),Priority Interrupt Controller,
prism for the splitting of light,prisme séparateur de lumière,Prisma für die Zerlegung des Lichts in Spektralfarben,
prismatic coke,coke prismatique,stengeliger Koks,
prismatic light fitting,diffuseur,Wannenleuchte,
prismatic tank,réservoir prismatique,prismatischer Tank,
private supply network,réseau d'autoproduction,Eigennetz,
privately placed issue,émission réservée,private Emission,
probabilistic decoding techniques,méthode de décodage probabiliste,stochastische Decodierungsverfahren,
probability density,densité de probabilité,Wahrscheinlichkeitsdichte,
probability distribution,fonction de répartition,Wahrscheinlichkeitsverteilung,
probability distribution function,fonction de distribution de probabilité,Wahrscheinlichkeitsverteilung,
probability distribution of failure,courbe de probabilité de défaillance,Wahrscheinlichkeitskurve des Ausfalls,
probability integral,fonction erreur,Wahrscheinlichkeitsintegral,
probability law,loi de probabilité,Wahrscheinlichkeitsgesetz,
probability of element error,probabilité d'erreur sur les éléments,elementare Irrtumswahrscheinlichkeit,
probability of failure,probabilité de défaillance,Ausfall-Wahrscheinlichkeit,
probability of information loss,probabilité de perte d'information,Wahrscheinlichkeit des Informationsverlustes,
probability of residual information loss,probabilité de perte résiduelle d'information,Wahrscheinlichkeit des Restinformationsverlustes,
probable reserves,réserves probables,wahrscheinliche Vorräte,
probe,sonde,Messfühler,
probe,sonde,Sonde,
probe,sonde,Tastkopf,
probe,sonde de couplage,Sonde,
probe current,courant de sonde,Sondenstrom,
probe for oscilloscope,sonde pour oscilloscope,Oszillographensonde,
probe tip,pointe de la sonde,Tastkopfspitze,
probe tube microphone,sonde microphonique,Sondenmikrofon,
probe voltage,tension de sonde,Sondenspannung,
prober,sondeur,Prüfsonde,
procedural symbol,symbole opératoire,Bedienungssymbol,
procedural variation,variante opératoire,Bedienungsvariante,
procedure,procédé,Verfahren,
procedure interrupt signal,signal d'interruption de la procédure,Prozedurunterbrechungssignal,
procedure mode,mode de procédure,Bedienungsmodus,
process,processus,Prozeß,
process heat,chaleur industrielle,Prozesswaerme,
process II,procédé II,II-Verfahren,
process of alignment,processus d'alignement,Fluchtungsprozeß,
processed animal protein,protéine animale transformée,verarbeitetes tierisches Eiweiß,
processed disk record,disque moulé,gepreßte Schallplatte,
processing atmosphere,atmosphère de travail,Prozeßgasatmosphäre,
processing gain,gain résultant du traitement,Verarbeitungsgewinn,
processing of the line supervision information,traitement des informations de télésurveillance,Verarbeitung der Leitungsüberwachungsinformation,
processor basic instructions,instructions de base pour processeur,Grundbefehle der Zentraleinheit,
processor handling time,temps de traitement du processeur,Verarbeitungszeit des Prozessors,
processor outage signal,signal de dérangement du processeur,Prozessorausfallsignal,
processor state,état du processeur,Prozessorstatus,
processor status word,mot d'état du processeur,Prozessorzustandswort,
processor test,test du processeur,Prozessortest,
processor test routine,examineur,Prozessorprüfroutine,
processor-bound,limité par le processeur,prozessorintensiv,
producer coal,houille de gazogène,Generatorkohle,
producer gas main,conduit de gaz du gazogène,Oxidkanal,
producer gas plant,atelier des gazogènes,Generatorenraum,
producer water channel,cuve à mâchefer,Wassertauchung,
producer-fired setting,four à gazogène,Generatorofen,
producing sand,sables producteurs,Fördersand,
product detector,démodulateur de produit,Produktdemodulator,
product detector,détecteur de produit,Produktdetektor,
product form of inverse,matrices produits,Produktform der Inversen,
product identification label,étiquette signalétique,Produkterkennungsschild,
product modulator,modulateur de produit,Produktmodulator,
product of processing,produit préparé,Verarbeitungsprodukt,
production board,carte de production,Druckplatte,
production mechanism,mécanisme de production,Fördermechanismus,
production of continuous current by the Seebeck method,production de courant continu par effet Seebeck,Erzeugung von Gleichstrom durch den Seebeck-Effekt,
production of electricity,production d'énergie électrique,Stromerzeugung,
production per cycle,production par cycle,Ausbringen je Zyklus,
production rate,productivité,Chargenleistung,
productive,productif,fündig,
products deflector,déflecteur,Abgasabweiser,
professional electronic equipment,produit électronique à usage professionnel,für professionelle Anwendungen bestimmtes Elektronikerzeugnis,
professional engineering group,association d'ingénieurs,Ingenieurverein,
profile angle,inclinaison de profil,Konturneigungswinkel,
profile data for the terrain,données relatives au profil du terrain,Angaben über das Geländeprofil,
profile drag,traînée de profil,Profilwiderstand,
profile lengthwise,profil en long,Längenprofil,
profile spotlight,projecteur de silhouettes,Effekt-Scheinwerfer,
profiled underwater crossing,siphon à baïonnette,Profildüker,
program generator,générateur de programme,Programm-Generator,
program of demand restraint measures,programme de mesures de restrictions de la demande,Programm für Maßnahmen zur Nachfragedrosselung,
program play,programmation de plages,Program-Play-Modus,
programmable array logic,logique à rangée programmable,programmable array logic,
programmable automatic control with modem for remote operation,automate programmable avec modem télécommandé,programmierbarer Automat mit Fernsteuerungsmodem,
programmable frequency divider,diviseur de fréquence programmable,programmierbarer Frequenzteiler,
programmable interval timer,horloge à intervalles programmables,Programmable Intervall Timer,
programmable logic device,réseau logique programmable,programmierbares logisches Feld,
programmable pattern generator,générateur de dessins programmable,programmierbarer Zeitplangenerator,
programmable power supply,alimentation programmable,programmierbare Stromversorgung,
programmable unijunction transistor,transistor unijonction programmable,programmierbarer Unijunction-Transistor,
programme,programme de compétence,Programm,
programme band,domaine de consigne,Sollwertbereich,
programme data,données du programme,Pogrammdaten,
programme disk,disque programmateur,Steuerscheibe,
programme in and out points,points d'entrée et de sortie des éléments de programme,Start-und Endpunkte des Programms,
programme level,niveau de modulation,Modulationsstufe,
programme level control,commande du niveau de modulation,Modulationskontrolle des Programms,
programme loudness meter,appareil de mesure du volume sonore,Lautstärkemesser,
programme meter,modulomètre,Modulationsmesser,
programme modulation,modulation radiophonique,Programm-Modulation,
programme sequencer circuit,contrôle séquentiel du programme,Programmablaufsteuerung,
programme track,piste de programmes,Programmpiste,
programmed control,réglage programme,Zeitplanregelung,
programmed exchange of energy,échange d'énergie programme,programmierter Energie-Austausch,
programmed I/O,entrée / sortie programmée,programmierte Ein-/Ausgabe,
programmed learning,enseignement programmé,programmiertes Lernen,
programmer,programmateur,Programmschalter,
programming,programmation,Programmierung,
Programming Language 1,programming language 1,Programming Language 1,
Programming Language for Microprocessors,PL/M,Programming Language for Microprocessors,
progress tones,tonalité d'acheminement,Hörtöne,
progression or run-back of equipment,avance ou recul de l'équipement,Auf/Zurückschalten,
progressive common-control system,système à sélection indirecte,indirekt gesteuertes System,
progressive junction,jonction progressive,allmählicher fortschreitender Übergang,
progressive scan,balayage progressif,progressive Abtastung,
progressive wave,onde progressive,fortschreitende Welle,
prohibition sign,signal d'interdiction,Verbotszeichen,
project,projet,Projekt,
projected demand,prévision d'émission,Planbedarf,
projected gap length,longueur projetée de l'espace interélectrode,projizierte Spaltlänge,
projected peak point,point isohypse,projizierter Höckerpunkt,
projected picture,image projetée,projektiertes Bild,
projection,projecteur,Strahler,
projection display,afficheur à projections,Projektionsanzeige,
projection mask,masque pour projection,Projektionsmaske,
projection system,système de projection,Projektionssystem,
projection television set,téléviseur à projection,Projektionsfernseher,
projection tube,tube de projection,Projektionsröhre,
projection welded cap,capot soudé électriquement sur nervure,buckelgeschweißtes Gehäuse,
projection welding,soudage par bossages,Buckelschweissen,
projection welding,soudure électrique sur nervure,Warzenschweißen,
projector charging machine,chargeuse à marteaux projecteurs,Hammerlademaschine,
projector lamp,lampe pour projecteur,Projektionslampe,
Projects for the promotion of energy technology for the new Länder of the Federal Republic of Germany(Thermie programme-1991-92),Projets de promotion de technologies énergétiques pour les nouveaux Länder de la république fédérale d'Allemagne(Programme THERMIE-1991-1992),Vorhaben zur Förderung der Energietechnologien für die neuen Länder der Bundesrepublik Deutschland(Programm THERMIE 1991-1992),
PROM programming machine,programmateur de PROM,PROM-Programmiergeraet,
prominence,protubérance solaire,Protuberanz,
prompt alarm,alarme instantanée,Sofortalarm,
prong,branche,Zweig,
propagate,propagation,fortpflanzen,
propagation,propagation,Fortpflanzung,
propagation,propagation,Fortpflanzung,
propagation axis,axe de la propagation,Ausbreitungsachse,
propagation by ionospheric scatter,propagation par diffusion dans l'ionosphère,ionosphärische Streuausbreitung,
propagation constant,constantes de propagation,Ausbreitungskonstante,
propagation constant,exposant linéique de propagation,Ausbreitungskoeffizient,
propagation constant,exposant linéique de propagation,Übertragungsmaß,
propagation curve,courbe de propagation,Übertragungskurve,
propagation delay,retard de propagation,Verteilungsverzögerung,
propagation delay time,temps de retard de propagation,Ausbreitungsverzögerungszeit,
propagation delay time,temps de retard de propagation,Durchlaufverzögerungszeit,
propagation delay time,temps de retard de propagation,Durchlaufverzögerungszeit,
propagation delay time,temps de retard de propagation,Impulsverzögerungszeit,
propagation delay time per gate,retard de propagation par porte,Signallaufzeit je Grundgatter,
propagation direction,direction de propagation,Übertragungsrichtung,
propagation error,erreur de propagation,Ausbreitungsfehler,
propagation forecast,prévision de la propagation,Übertragungsvorhersage,
propagation loss,affaiblissement de propagation,Propagationsschwund,
propagation mechanism,mécanisme de propagation,Übertragungsmechanismus,
propagation medium,milieu de propagation,Übertragungsmedium,
propagation mode,mode de propagation,geführte Ausbreitung,
propagation over mixed paths,propagation sur des trajets mixtes,Übertragung über Mischstrecken,
propagation pressure,pression de propagation,Fortpflanzungsdruck,
propagation time,temps de propagation,Laufzeit,
propagation time delay,tpd,Verzögerung,
propagation uncertainty,incertitude due à la propagation,Ungewißheit der Übertragung,
propeller,hélice,Propeller,
propeller fan,ventilateur hélicoïde,Axialventilator,
propeller-type wind turbine,éolienne à hélice,Windturbine vom Propeller-Typ,
proper function,fonction propre,Eigenfunktion,
proper time,temps propre,Eigenzeit,
proper value,valeur propre,Eigenwert,
proportion of acid,proportion de l'acide,Säureverhältnis,
proportional action,action proportionnelle,proportionales Verhalten,
proportional band,étendue proportionnelle,Proportionalbereich,
proportional controller,régulateur proportionnel,Proportionalregler,
proportional counter tube,tube compteur proportionnel,proportionales Zaehlrohr,
proportional integral controller,régulateur proportionnel intégral,PI-Regler,
proportional photoconductance,photoconductance proportionnelle,proportionaler Fotoleitwert | Photoleitwert,
proportional region,région de proportionnalité,Proportionalbereich,
proportional-action coefficient,coefficient d'action proportionnelle,Proportionalbeiwert,
proportioning,dimensionnement,Dimensionierung,
proportioning control,contrôle proportionnel,Mischregelung,
propping,soutènement de la fracture,Stützmittel,
propulsion power,courant de traction,Fahrstrom,
prospective breaking current,courant présumé coupé,unbeeinflußter Ausschaltstrom,
prospective current,courant présumé,unbeeinflußter Strom,
prospective making current,courant présumé établi,unbeeinflußter Einschaltstrom,
prospective peak current,valeur de crête du courant présumé,unbeeinflußter Stoßstrom,
prospective symmetrical current,courant présumé symétrique,unbeeinflußter symmetrischer Strom,
prospective touch voltage,tension de contact présumée,zu erwartende Berührungsspannung,
prospective transient recovery voltage,tension transitoire de rétablissement présumée,unbeeinflußte Einschwingspannung,
protected,machine protégée,geschützte Maschine,
protected area,zone préservée,Schutzzone,
protected creepage distance,ligne de fuite protégée,geschützter Kriechweg,
protected field,champ protégé,geschütztes Feld,
protected field strength,champ protégé,geschützte Feldstärke,
protected heating element,élément chauffant protégé,geschütztes Heizelement,
protected multiplexer,multiplexeur sécurisé,geschützter Multiplexer,
protected pilot,veilleuse contrôlée,überwachte Zündflamme,
protecting channel,canal protecteur,Schutzkanal,
protection against accidental earthing,protection contre les mises à la terre accidentelles,Erdschlussschutz,
protection against interference,protection contre les signaux brouilleurs,Schutz gegen Interferenzen,
protection against loss of excitation,protection contre les ruptures d'excitation,Erreger-Ausfallschutz,
protection against loss of synchronism,protection contre les ruptures de synchronisme,Schutz gegen Asynchronismus,
protection against noise,protection contre les bruits,Schutz gegen Störungen,
protection against short-circuits between turns,protection contre les courts-circuits entre spires,Windungsschluss-Schutz,
protection against under-excitation,protection contre la sous-excitation,Unter-Erregungsschutz,
protection angle,protection angulaire,Schutzwinkel,
protection by phase comparison,protection par comparaison de phases,Phasenvergleichsschutz,
protection circuit,circuit de protection,Schutzschaltung,
protection link switching,commutation sur liaison de réserve,Umschalten auf Hilfsbetrieb,
protection of personal information,protection des informations nominatives,Schutz Personenbezogener Daten,
protection of private life,protection de la vie privée,Schutz des Privatlebens,
protection of the geostationary orbit,protection de l'orbite des satellites géostationnaires,Schutz der geostationären Umlaufbahn,
protection panel,boîtier de protection de prise de parc,Außenbordanschluss-Schutzgehäuse,
protection ratio,rapport de protection,Schutzverhältnis,
protection ratio against lightning impulses,rapport de protection aux surtensions de foudre,Blitz-Überspannungsschutzfaktor,
protection ratio against switching impulses,rapport de protection aux surtensions de manoeuvre,Schalt-Überspannungsschutzfaktor,
protection relay,relais à protection différentielle,Fehlerschutzrelais,
protection switching and restoration,commutation sur un canal de secours et retour au canal normal,Umschalten auf einen Hilfskanal und Zurückschalten auf Normalbetrieb,
protection switching initiator,déclencheur de commutation de secours,Umschalter auf Hilfsbetrieb,
protection system,système de protection,Schutzsystem,
protection system for an electrical network,système de protection du réseau électrique,Netzschutzsystem,
protection winding,enroulement de protection,Schutzkern,
protective braiding,tresse de blindage,Schutzband,
protective circuit,circuit de protection,Schutzstromkreis,
protective conductor,conducteur de protection,Schutzleiter,
protective contact,contact de protection,Schutzkontakt,
protective cover,capuchon protecteur,Schutzkappe,
protective current,courant protecteur,Schutzstrom,
protective current requirement,intensité du courant de protection,Schutzstrombedarf,
protective film spray,bombe aérosol à film protection,Schutzfilm-Sprühdose,
protective gas,gaz de protection,Schutzgas,
protective glass,verre de protection,Schutzglas,
protective ground,terre de protection,Schutzerde,
protective headwear,protège-tête,Kopfschutz,
protective multiple earthing,mise à la terre générale,Vielfachschutzerdung,
protective pin,broche de protection,Schutzstift,
protective plug,fiche à contacts de protection,Schuko-Stecker,
protective potential range,portée de la protection,Schutzbereich,
protective relay,relais de protection,Schutzrelais,
protective relay,relais protecteur,Schutzrelais,
protective wire,fil pilote,Schutzleiter,
protector,parafoudre,Überspannungsschutz,
proton spectrometer,spectromètre à protons,Protonenspektometer,
prototype L-section filter,demi-cellule en L à K constant,Grundkettenhalbglied,
protozoology,protozoologie,Protozoologie,
protruding parts,parties en saillie,hervorstehende Teile,
proved pilot,veilleuse de sécurité,Wachflamme,
proving circuit,circuit de contrôle,Überwachungsstromkreis,
proving of opening of switch blades,contrôle d'entrebâillement d'aiguille,Anzeige für Mittelstellung von Weichenzungen,
proving of switch blades,contrôleur de lames d'aiguille,Zungenprüferkontakt,
proving oven,coffre à faire lever la pâte,Garschrank,
provisional value,valeur provisoire,provisorischer Wert,
proximity effect,effet de proximité,Nahwirkung,
proximity switch,interrupteur de proximité,Naeherungsschalter,
proximity-effect sensor,détecteur de proximité,Annäherungsinitiator,
pseudo frequency,pseudo-fréquence,gedämpfte Eigenfrequenz,
pseudo mode,pseudo-mode,Pseudomodus,
pseudo noise,pseudo-bruit,Pseudorauschen,
pseudo noise code,code à pseudo-bruit,Pseudo-Rauschsystem,
pseudo-isotropic disc,disque pseudo-isotrope,pseudoisotropes Scheibenrad,
pseudo-random binary sequence,code en chaîne,Folgeadresse,
pseudo-random phase-shift signal,signal de déplacement de phase pseudo-aléatoire,pseudo-zufälliges Phasenverschiebungssignal,
pseudosonic waves,ondes pseudosonores,pseudoakustische Wellen,
psia,livres par pouce carré de pression absolue,Pfund pro Quadratzoll abs.,
PSK digital transmission,transmission de signaux numériques MDP,PSK-digitale Übertragung,
PSK message signal,signal des messages MDP,PSK-Nachrichtensignal,
PSK telephony signal,signal téléphonique MDP,PSK-Fernsprechsignal,
psophometer,psophomètre,Psophometer,
psophometer weighting network,filtre psophométrique,Psophometerfilter,
psophometric e.m.f.,force électromotrice psophométrique,psophometrische EMK,
psophometric signal-to-noise ratio,rapport signal/bruit psophométrique,psophometrisches Träger-Rausch-Verhältnis,
psophometric two-signal method,procédé psophométrique à deux signaux,psophometrische zwei-Signal-Methode,
psophometric voltage,tension psophométrique,psophometrische Spannung,
psophometric weighting,pondération psophométrique,psophometrisch bewertet,
psophometric weighting factor,facteur de pondération psophométrique,psophometrischer Gewichtungswert,
psophometrically-weighted noise power,puissance de bruit,Geräuschstärke,
ptfe sleeving,gaine teflon,Teflonumhüllung,
public address amplifier,amplificateur de sonorisation,Beschallungsverstärker,
public address microphone,microphone pour la diffusion,Ansagemikrophon,
public address system,sonorisation,Beschallung,
public lighting tariff,tarif éclairage public,Preisregelung für Sonderzwecke,
public street lamp,candélabre d'éclairage public,Beleuchtungskörper für die Straßenbeleuchtung,
public supply network,réseau de service public,oeffentliches Netz,
public transport vehicle,véhicule de transport en commun,öffentliches Verkehrsmittel,
published tariff,tarif général,allgemeiner Tarif,
puce oxide,oxyde puce,PbO2,
pull,profondeur de passe,Abschlagtiefe,
pull strength,résistance à la traction,Zugfestigkeit,
pull-down,tirage vers le bas,Herunterziehen,
pull-in test,essai d'accrochage,Intrittfallversuch,
pull-in time,temps d'établissement,Einregelzeit,
pull-in torque,couple d'accrochage,Intrittfallmoment,
pull-off,rappel,Spurhalter,
pull-off connector,connecteur à déconnexion par traction,pull-off-Steckverbinder,
pull-off coupling,accouplement à déconnexion par traction,pull-off-Kupplung,
pull-out oven,four à glissière,Backofen mit ausziehbarem Wagen,
pull-out test,essai de décrochage,Kippversuch,
pull-out torque,couple maximal,Kippmoment,
pull-through winding,enroulement à fils tirés,Durchziehwicklung,
pull-up resistor,résistance de pull-up,Endwiderstand,
pull-up torque,couple minimal pendant le démarrage d'un moteur à courant alternatif,Sattelmoment eines Wechselstrommotors,
pulled crystal,cristal par tirage,gezogener Kristall,
pulling caterpillar,chenille de tirage,Raupenfahrzeug zum Kabelziehen,
pulling figure,indice de glissement,Mitziehfaktor,
pulling into synchronism,accrochage,Intrittziehen,
pulling out,fonctionnement hors synchronisme,Aussertrittfallen,
pulling out of synchronism,décrochage,Außertrittfallen,
pulsating,pulsatoire,Misch-,
pulsating current,courant pulsatoire,pulsierender Strom,
pulsating current fed track circuit,circuit de voie à courant pulsé,Impuls-Gleisstromkreis,
pulsating voltage,tension pulsatoire,Mischspannung,
pulsating-current track circuit,circuit de voie à courant pulsé,Impuls-Gleisstromkreis,
pulsation factor,taux de pulsation,Schwingungsgehalt,
pulse,impulsion,Impuls,
pulse,impulsion,Impuls,
pulse,impulsion,Stoss,
pulse,impulsion,Stoß,
pulse amplifier,amplificateur d'impulsion,Impulsverstärker,
pulse amplitude,hauteur d'impulsion,Impulshoehe,
pulse average time,durée moyenne de l'impulsion,mittlere Impulsdauer,
pulse circuit,circuit à impulsion,Impulsschaltung,
pulse code modulation,voie son MIC,PCM-Tonkanal,
pulse code modulation control link,liaison de contrôle de modulation par impulsions et codage,PCM-Steuerkanal,
pulse code modulation signal,signal de modulation par impulsions et codage,Pulscodemodulationssignal,
pulse comparator,comparateur d'impulsion,Impulsvergleicher,
pulse control,réglage par impulsion,Pulssteuerung,
pulse control factor,facteur de réglage par impulsion,Tastverhältnis bei Pulsbreitensteuerung,
pulse counter,compteur d'impulsions,Impulszähler,
pulse decay time,temps de retour,Impulsabfallzeit,
pulse delay time,temps de retard de l'impulsion,Impulsverzögerungszeit,
pulse dissipation,dissipation en impulsion,Impulsverlustleistung,
pulse duration,durée de l'impulsion,Impulsdauer,
pulse duration control,réglage par durée d'impulsion,Pulsbreitensteuerung,
pulse duty factor,facteur d'utilisation d'impulsions,relative Einschaltdauer,
pulse duty factor,facteur de durée,Tastverhältnis,
pulse echo meter,échomètre à impulsions,Pulsechomesser,
pulse energy,énergie d'impulsion,Impulsenergie,
pulse envelope,enveloppe de l'impulsion,Pulshülle,
pulse exclusive-OR,OU exclusif synchronisé,getaktete Exklusiv-ODER-Schaltung,
pulse fall delay,retard à la descente,Abfallverzögerungszeit,
pulse forming line,ligne formatrice d'impulsion,Pulsformerleitung,
pulse frequency control,réglage par impulsions à fréquence variable,Pulsfrequenzsteuerung,
pulse function,fonction d'impulsion,Pulsfunktion,
pulse generator,générateur d'impulsions,Impulsgenerator,
pulse generator,générateur d'impulsions,Impulsgenerator,
pulse generator,générateur d'impulsions,Impulsgenerator,
pulse height selector,sélecteur d'amplitudes,Impulshoehenselektor,
pulse leading edge,front avant de l'impulsion,Impulsvorderfront,
pulse length,longueur d'impulsion,Pulsdauer,
pulse method,emploi d'impulsions,Pulsmethode,
pulse microswitch,microrupteur à impulsion,Impulsmikroschalter,
pulse modulation,modulation de l'impulsion,Impulsmodulation,
pulse modulation,modulation par impulsion,Pulsmodulation,
pulse noise margin,marge de bruit en alternatif,Wechselstromrauschtoleranz,
pulse number,indice de pulsation,Pulszahl,
pulse output power,puissance de sortie en impulsions,Impulsausgangsleistung,
pulse profile,profil des impulsions,Pulsprofil,
pulse propagation,propagation des impulsions,Pulsübertragung,
pulse propagation time,temps de propagation des impulsions,Pulsübertragungszeit,
pulse receiver,receptor de impulsos,Impulsempfaenger,
pulse relay,relais d'impulsions,Impulsrelais,
Pulse Repetition Frequency,fréquence de répétition des impulsions,Impulsfolgefrequenz,
pulse repetition-rate modulation,modulation d'impulsions en fréquence,Pulsfrequenzmodulation,
pulse representation,représentation d'impulsion,Impulsdarstellung,
pulse resistance,résistance en impulsion,Impulswiderstand,
pulse response,réponse percussionnelle,Impulsantwort,
pulse response curve,courbe de réponse aux impulsions,Pulsbewertungskurve,
pulse rise time,temps de montée d'une impulsion,Impulsanstiegszeit,
pulse sender,émetteur d'impulsions,Impulsgeber,
pulse shape,forme des impulsions,Impulsform,
pulse signalling,signalisation téléphonique,Pulssignalisationsverfahren,
pulse spacing,période de répétition des impulsions,Pulswiederholungsrate,
pulse spectrum,spectre d'une impulsion,Frequenzspektrum eines Impulses,
pulse spreading,dispersion d'impulsions,Pulsdispersion,
pulse stuffing,justification,Bitrate Sicherstellung,
pulse synchronizer,synchronisateur d'impulsions,Pulsar-Synchronisation,
pulse system,système à impulsions,Pulssystem,
pulse techniques,techniques de transmission par impulsions,Pulsübertragungstechniken,
pulse trailing edge,front arrière de l'impulsion,Impulsrückflanke,
pulse train,train d'impulsion,Impulskette,
pulse transformer,transformateur d'impulsion,Impulswandler,
pulse triggering,déclenchement par impulsion,Impulstriggerung,
pulse width,largeur d'impulsion,Impulsdauer,
pulse width modulation generator,générateur à modulation de largeur d'impulsion,Impulsgenerator mit Modulationsbreite,
pulse width modulator,modulateur de largeur(s) d'impulsion,Pulsbreitenmodulator,
pulse-blocking counter,compteur à bloquage d'impulsion,Zähler mit Impulssperre,
pulse-chain firing,déclenchement par série d'impulsions,Impulskettenzündung,
pulse-Doppler radar,radiodétection par impulsions à effet Doppler-Fizeau,Impuls-Doppler-Radar,
pulse-excited laser,laser excité par impulsion,impulserregter Laser,
pulse-excited Q-switched laser,laser déclenché excité par impulsion,"pulserregter,gütegeschalteter Laser",
pulse-height discriminator,discriminateur de hauteur d'impulsion,Impulshöhendiskriminator,
