en,fr,de,vi
settling pan,bac de décantation,Schlammbehälter,
settling velocity,vitesse de décantation,Absetzgeschwindigkeit,
setworks,dispositif de division-dégagement,Aufspannapparat,
sewage pipe,dalot,Rohr/dole,
sewing machine,machine à coudre,Nähmaschine,
shackle locked on both sides,verrouillage bilatéral avec arceau articulé,beidseitige Bügelverriegelung,
shackle stud,tige à chape,Gabelgelenkschaft,
shaded pole motor,moteur à bague de déphasage,Spaltpolmotor,
shading coefficient,coefficient d'ombrage,Sonnenschutzkoeffizient,
shaft,axe,Welle,
shaft,puits,Schacht,
shaft angle,angle des axes,Achsenwinkel,
shaft angle error,défaut d'angle d'axes,Achsneigungsfehler,
shaft bearing,palier,Lager,
shaft bearing,palier-support,Wellenlagerung,
shaft bottom,fond de la gaine,Schachtgrund,
shaft bracket,support d'arbre,Wellenbock,
shaft brake,frein mécanique,Wellenbremse,
shaft centre height,hauteur d'axe,Achshoehe,
shaft coupling,accouplement d'arbres,Wellenkupplung,
shaft coupling,organe d'accouplement,nichtschaltbare Kupplung,
shaft covering,couverture de la gaine,Schachtabdeckung,
shaft dividing screen,écran de séparation de la gaine,Schachttrenngitter,
shaft drive,prise de mouvement de l'arbre d'entraînement,Wellenabtrieb,
shaft efficiency,rendement sur l'arbre,Wellenwirkungsgrad,
shaft end,bout d'arbre d'entraînement,Wellenstumpf,
shaft extension,bout d'arbre,Wellenzapfen,
shaft flange,flasque d'arbre,Wange,
shaft for utilities,regard de visite pour câbles,Kabelschacht,
shaft framework,charpente de la gaine,Schachtgeruest,
shaft framework,charpente de la gaine,Schachtgeruest,
shaft gear,pignon à queue,Schaftzahnrad,
shaft head,tête d'axe,Wellenkopf,
shaft horse power,puissance torsiométrique,Wellenleistung,
shaft horse-power,cheval-vapeur sur l'axe,Wps,
shaft horsepower,puissance sur l'arbre,Wellenpferdestärke,
shaft lighting,éclairage de gaine,Schachtbeleuchtung,
shaft lining,revêtement de gaine,Schachtauskleidung,
shaft locking,enclenchement à arbres,Schieberverschluss,
shaft packing,garniture d'étanchéité,Wellendichtungspackung,
shaft pinion,pignon à arbre solidaire,Wellenritzel,
shaft profile,profil de l'arbre,Keilwellenprofil,
shaft rough turning machine,tour à écroûter les barres,Schälmaschine,
shaft seal,boîte d'étanchéité,Wellenabdichtung,
shaft seal,joint pour arbre tournant,Wellendichtung,
shaft section,demi-arbre,Halbachse,
shaft speed,vitesse de l'arbre,Wellendrehzahl,
shaft spillway,évacuateur en puits,ringfoermige Entlastungsanlage,
shaft thrust,poussée globale,Gesamtschub,
shaft top,plafond de la gaine,Schachtdecke,
shaft turning device,dispositif de virage d'arbre,Wellendreheinrichtung,
shaft twisting device,dispositif de sécurité de vrillage d'arbre,Wellenverwindungssicherheitsvorrichtung,
shaft wall,paroi de la gaine,Schachtwand,
shaft well,puits foncé,Schachtbrunnen,
shaft with keyway,arbre à rainure de clavette,Welle mit Keilnut,
shaft-cylinder differential,dilatation différentielle entre stators et retors,relative Axialdehnung zwischen Turbinenwelle und Gehaeuse,
shaft-voltage test,essai de tension dans l'arbre,Messung der Wellenspannung,
shaftcouplings,plateaux d'assemblage,Wellenflansch,
shakedown operation,essai technique,Probebetrieb,
shakeproof lockwasher,rondelle de blocage indésserrable,unlösbares Sicherungsblech,
shaker table,table à secousses,Ruetteltisch,
shaker-type conveyor-loader,pelleteuse à couloir oscillant,Lader mit Schuettelrutsche,
shank,queue,Schaft,
shank,queue,Schaft,
shank,queue du poinçon,Stempelschaft,
shank,tige,Stift,
shank,tige de boulon,Schraubenschaft,
shank counterbore,foret-aléseur pour le chambrage des logements de collets de vis,Halssenker,
shank cutter,fraise à queue,fingerfräser,
shank diameter,diamètre de la tige,Schaftdurchmesser,
shank for drawbar eye,tige d'anneau d'attelage,Schaft für Zugöse,
shank holder,porte-outil de brochage,Schafthalter,
shank hook,crochet à tige,Schafthaken,
shank section,section de la tige,Schaftquerschnitt,
shank type milling cutter,fraise à queue,Schaftfräser,
shape,moule,Form,
shape factor,facteur de forme,Winkelverhaeltnis,
shaped profile cutter,fraise à rayonner quart de cercle,Viertelkreisfräser,
shaper fixture,montage d'étau limeur,feilvorrichtung,
shaper head,tête de mortaisage,Stoßkopf,
shaping,rabotage à l'étau limeur,Waagerechtstoßen,
shaping machine,étau-limeur,Waagerechtstossmaschine,
shaping width,course maximum transversale de la table,größtmögliche Horizontalbewegung des Tisches,
shaping with generating motion,mortaisage par outil-pignon,Wälzstoßen,
shaping with generating motion,taillage par outil-crémaillère,Wälzhobeln,
share,soc,Schar,
shares of the same class,actions de même catégorie,Aktien der gleichen Gattung,
sharp bend,tube coudé,scharfes Knierohr,
sharp edge,arete vive,scharfe Kante,
sharp sublimation front,front de sublimation net,scharfe Sublimationsfront,
sharp-edge orifice,orifice en mince paroi,scharfkantiges Auslassrohr,
sharp-edge part,pièce a arête vive,scharfkantiger Teil,
sharp-edged,à arêtes vives,scharfkantig,
sharpen,affuter,anschärfen,
sharpening,réaffûtage,Scharfschliff,
sharpening,retaillage,Aufhauen,
sharpening angle,angle de réaffûtage,Nachschliffwinkel,
sharpening of impeller blades,affûtage des aubes,Ausfeilen der Laufschaufeln,
sharpness angle,angle de plein bec,Keilwinkel,
shatterproof glass,glace de sécurité,splitterfreies Glas,
shaving,rasage,Wälzschaben,
shaving gear,roue de rasage,Schabrad,
shaving stock,surépaisseur de rasage,Schabzugabe,
shaving tool,outillage d'arasage,Nachschneidewerkzeug,
sheaf hopper,trémie à gerbes,Garbenmulde,
shear angle,angle de cisaillement,Scherwinkel,
shear blade,lame de cisaille,Scherenmesser,
shear diagram,diagramme de cisaillement,Schnittdiagramm,
shear dowel,clavette de cisaillement,Schubduebel,
shear key,clavette de cisaillement,Scherverzahnung,
shear nut,ecrou a face,Schermutter,
shear part,pièce fusible,Sollbruchteil,
shear pin bush,douille de cisaillement,Scherbuchse,
shear rod,tige à cisailler,Scherbolzen,
shear shaft,arbre à casser,Scherwelle,
shear type metal cutter,cisaille pour tôles,Blechschere,
shear zone,zone de cisaillement,Scherzone,
shearing force,force de cisaillement,Schubkraft,
shearing load,force de découpage,Schneidkraft,
shearing pin,goupille de cisaillement,Abscherstift,
shearing pin,goupille de cisaillement,Scherungsstift,
shearing point,point de cisaillement,Scherstelle,
shearing press,presse à cisailler,Scherpresse,
shearing stress limit law,loi d'écoulement,Fliessgesetz,
sheathed crate,cadre enveloppé,verkleideter Verschlag,
sheave,réa entaillée,Seilscheibe,
sheave,roue à rainure,Rillenrad,
sheave shaft bearing,palier de l'arbre lent,Treibscheibenwellenlager,
sheave shaft load,charge sur l'arbre de la poulie de traction,Treibscheibenwellenbelastung,
sheer profile,ligne de tonture,Sprunglinie,
sheet filter,filtre à carton,Schichtenfilter,
sheet forming,formage des feuilles,Folienverformung,
sheet gasket,rondelle d'étanchéité,Scheibendichtung,
sheet metal cutter,cisaille,Blechschere,
sheet metal cutter,grignoteuse pour tôles,Blechknapper,
sheet metal drill,trépan pour tôles,Kreisringschneider,
sheet metal fixing,tôle de fixation,Halteblech,
sheet metal lining,revêtement en tôle,Blechverkleidung,
sheet metal radiator,radiateur à plaques,Bandkühler,
sheet metal screw,vis à tôle,Schneidschraube,
sheet metal screw,vis pour tôle,Treibschraube,
sheet truck,chariot à bras à pupitre,Flachglaswagen,
sheet wrapping machine,emballeuse sous pellicule,Folienwickelmaschine,
sheet-metal jacketing,revêtement en tôle,Blechmantelverkleidung,
sheet-metal jacketing,tôle de protection du calorifuge,Blechverschalung,
sheet-metal working machine,machine à travailler la tôle,Blechbearbeitungsmaschine,
sheet-steel casing,tubage en acier,Stahlmantelrohr,
sheet-supporting bar,barre faîtière,Tragstange für Decken,
shelf access equipment,appareil de desserte des rayonnages,Regalförderzeug,
shelf angle,cornière de support,Neigungswinkel,
shelf freezer,congélateur à étagères,Hordengefriereinrichtung,
shelf stowage,entreposage sur étagères,Regallagerung,
shelf-truck,chariot à étagères,Etagenwagen,
shell,coquille,Greiferschale,
shell,coquille,Schale,
shell and coil condenser,condenseur à virole et serpentin,Rohrschlangenverfluessiger,
shell and coil evaporator,évaporateur à calandre et serpentin,Rohrschlangenverdampfer,
shell and tube evaporator,évaporateur multitubulaire à calandre,Rohrbuendelverdampfer,
shell and tube heat exchanger,échangeur thermique à calandre,Rohrbuendel-Waermeaustauscher,
shell boiler,chaudière à grand volume d'eau,Rauchrohrkessel,
shell freezing,congélation en coquille,Rotationsgefrieren,
shell freezing,congélation superficielle,oberflaechiges Gefrieren,
shell reamer,manchon d'alésage,Aufsteckreibahle,
shield,écran de protection,Schutzklappe,
shield,écran de protection,Schutzschild,
shielding tubing,gaine de blindage,Abschirmungsschlauch,
shift,déplacer,verstellen,
shift down,rétrograder les vitesses,herunterschalten,
shift fork,fourchette de la commande,Auskupplungshebel,
shift lever,levier de renvoi,Winkelhebel,
shift lever,levier des vitesses,Schalthebel,
shift of brush,décalage des balais,Buerstenverschiebung,
shift solenoid,solénoïde de changement de vitesse,Schalt-Solenoid,
shifter rail,coulisseau,Gabelwelle,
shifting,changement de vitesse,Umschaltung,
shifting coupling,embrayage,schaltbare Kupplung,
shifting coupling,embrayage,schaltbare Kupplung,
shifting lever,levier de sélection,Schaltstange,
shifting shaft,arbre baladeur,Verschiebewelle,
shim,cale d'épaisseur,Schichtblech,
shim block,cale de blocage,Unterlegplatte oder Unterlegklotz,
shim washer,rondelle de réglage,einstellscheibe,
shimmy,shimmy,Radflattern,
shimmy damper,amortisseur de shimmy,Flatterdämpfer,
ship plate countersink,fraise pour trous de rivets,Senker für Senkniete,
ship-caisson,fermeture de la cale,Dockverschluss : Schwimmponton,
ship-caisson with constant draught,bateau-porte à tirant d'eau constant,Schwimmtor mit feststehendem Tiefgang,
ship-caisson with variable draught,bateau-porte à tirant d'eau variable,Schwimmtor mit veraenderlichem Tiefgang,
ship-lift,élévateur de bateau,Schiffshebewerk,
ship's derrick,bigue,Derrickkran,
ship's propeller,hélice de navire,Schiffsschraube,
shipboard power generation,génération de puissance de bord,Stromerzeugung an Bord,
shipping notice,avis d'expédition,Versand-Mitteilung,
shipping pack,fût d'expédition,Packfass,
shipping plug,bouchon d'expédition,Blindstopfen,
shivel hook,crochet à émerillon,drehbarer Haken,
shock,impact,Zusammenstoss,
shock absorber,amortisseur de chocs,Stoßdämpfer,
shock absorber,amortisseur de train,Stoßdämpfer,
shock absorber reserve,volant de l'amortisseur,Dämpfungsreserve des Stoßdämpfers,
shock absorber retraction hook,doigt de rétraction des amortisseurs,Stoßdämpfereinziehhaken,
shock absorbing buffer,amortisseur,Stossdaempfer,
shock absorbing pad,tampon amortisseur,Stoßdämpfungspuffer,
shock compensating rocker beam,balancier,Schwinghebel,
shock compensating rocker beam shaft,axe de fût de balancier,Federbeinschwinghebelbolzen,
shock loss,perte par choc,Stossverlust,
shock loss according to Borda-Carnot,perte par choc de Borda,Stossverlust nach Borda-Carnot,
shock mount,support anti-vibratoire,stoßdämpfende Halterung,
shock recorder,enregistreur de chocs,Stossregistriergerät,
shock-absorbing mounting,montage antivibratoire,federnde Aufhaengung,
shock-chilling,réfrigération-choc,Schockkuehlung,
shock-free influx,entrée sans choc,stossfreier Eintritt,
shock-resistant,résistant aux chocs,stoßfest,
shoe brake,frein à sabots,Außenbackenbremse,
shoe brake,frein à sabots,Klotzbremse,
shoe plate brake,frein à patins,Schuhbremse,
shoe support bearing,support de sabot,Fuehrungsschuhhalter,
shop rivet,rivet posé à l'atelier,Werkstattniet,
shore line dispensing unit,distributeur placé sur le rivage,fester Verteiler,
short addendum teeth,denture tronquée,Stumpfverzahnung,
short bed lathe,tour à banc court,Kurzwangendrehmaschine,
short bed lathe,tour à banc court,Nachdrehmaschine,
short circuited turn,spire en court-circuit,kurzgeschlossene Windung,
short coupling system,système d'attelage court,Kurzkuppelsystem,
short links chain,chaîne à maillons courts,kurzgliedrige Kette,
short neck screw,vis collet carré court,Kurzvierkantbundschraube,
short pitch winding,enroulement à pas raccourci,Wicklung mit verkürztem Schritt,
short sleeve,manchon court,kurze Muffe,
short snatch block,moufle court,kurze Unterflasche,
short splice,courte épissure,Kurzpleiss,
short stopper,agent d'arrêt de la réaction de polymérisation,Polymerisations-Unterbrecher,
short term fuel trim,correction rapide du carburant,Kurzzeit-Gemischregelung,
short-circuit characteristic,caractéristique en court-circuit,Kurzschlußkennlinie,
short-circuit ratio,rapport de court-circuit,Leerlauf-Kurzschluß-Verhältnis,
short-circuit time constant of primary windings,constante de temps du courant de court-circuit,Gleichstrom-Zeitkonstante der Wechselstromwicklung,
short-time duty-type,service temporaire,Kurzzeitbetrieb,
short-time rating,service nominal temporaire,Nenn-Kurzzeitbetrieb,
shortening hook,doigt de rétraction,Einziehhaken,
shot,injection,Schuss,
shot blasting,grenaillage au fil coupé,Drahtkornstrahlen,
shot drill,couronne à grenaille,diamantartiger Bohrer,
shot sleeve,cylindre d'injection,Fuellbuechse,
shotfiring circuit,circuit d'allumage,Zuendstromkreis,
shoulder,épaulement,Zapfen,
shoulder belt traction device,dispositif de traction de la bretelle,Zugvorrichtung für den Schultergurt,
shoulder bolt,boulon epaule,Bundbolzen,
shoulder pin,broche épaulée,Kopfstift,
shoulder screw,vis à tête cylindrique longue,Zapfenschraube,
shoulder screw eye bolt,vis à oeil avec embase,Ringschraube,
shoulder strap locking,verrouillage des bretelles,Schultergurtverriegelung,
shouldered blade,aube à nageoire,Flossenschaufel,
shouldered bushing,bague épaulée,Bundring,
shouldered drum,tambour à épaulement,Schulteraufbautrommel,
shouldered part,pièce épaulée,angesetzes Stück,
shouldered plug,tampon épaulé,Bundstopfen,
shovel-excavator,excavateur à cuiller,Schaufelbagger,
shredder,granulateur à grille perforée,Siebkneter,
shrink fit machine,machine d'ajustement fretté,Einschrumpfvorrichtung,
shrink hole,retassure,Lunker,
shrink-fit,fretter à chaud ou fretter par refroidissement(une pièce sur une autre),aufschrumpfen ein Stück auf ein anderes,
shrink-on capsule,capsule shrink,Schrumpfkapsel,
shrinkdown hose,gaine thermorétractable,Schrumpfschlauch,
shrinking,frette,Schrumpfband,
shrinking machine,machine à restreindre,reduziermaschine,
shrinking tunnel,tunnel retrécissant,Schrumpftunnel,
shroud,divergent,Ummantelung,
shroud,flasque,Leitschaufel,
shroud entry area,col de reprise,Anschlusshals,
shroud ring,couronne périphérique,Mantelring,
shrouded aerogenerator,éolienne à divergent ou convergent,ummantelte Windturbine,
shrouded blade,aube à talon,ummantelte Schaufel,
shrouded blade,aube renforcée,ummantelte Schaufel,
shrouded blade tip,aube à talon,Schaufelspitze mit Deckband,
shrouded duct,tuyauterie doublée,ummantelte Rohrleitung,
shrouded impeller,roue fermée,Laufrad mit Deckband,
shrouded impeller single entry pump,pompe avec roue fermée à simple entrée,einstroemige Pumpe mit geschlossenem Laufrad,
shrouded nozzle,tuyère carénée,ummantelte Düse,
shrouded tail fan,ventilateur de queue caréné,verkleideter Heckrotor,
shrouded tail rotor,fenestron,eingelassener Heckrotor,
shrouding,bandage,Deckband,
shrunk-on collar,collet rapporté,aufgeschrumpfter Bundring,
shrunk-on collar,collier d'excentrique,Hubscheibenring,
shrunk-on fit,calage à retrait,Schrumpfsitz,
shrunk-on ring,frette posée à chaud,Schumpfring,
shunt,machine à excitation shunt,Maschine mit Nebenschlußerregung,
shunt field,champ de l'enroulement shunt,Nebenschlussfeld,
shunt pipe,conduite dérivée,Zweigleitung,
shunt valve,robinet de dérivation,Nebenschlussventil,
shunt winding,enroulement en shunt,Nebenschlußwicklung,
shunt wound motor,moteur à excitation shunt,Nebenschlussmotor,
shunter's pole,perche à décrocher,Knüppel,
shunting brake cock,robinet de commande du frein de manoeuvre,Rangierbremsventil,
shunting coupling,accouplement de manouvre,Rangierkupplung,
shut off,shut off,Brückenstein,
shut off valve,soupape d'arrêt,Absperrventil,
shut-off cock,robinet de fermeture,Verschlußhahn,
shut-off device,dispositif de désactivation,Absperrvorrichtung,
shut-off device,installation de retenue,Absperreinrichtung,
shut-off head,hauteur à débit nul,Nullfoerderhoehe,
shut-off pressure,pression à débit nul,Nullfoerderdruck,
shut-off valve,robinet coupe-feu,Kraftstoffhauptabsperrhahn,
shut-off valve,soupape à flotteur,Schwimmerventil,
shut-off valve control lever,levier de commande de robinet coupe-feu,Brandhahnbedienhebel,
shut-off valve control lever,manette de robinet coupe-feu,Brandhahnbedienhebel,
shutdown,arrêt,Abschalten,
shutdown switch,interrupteur d'arrêt de génératrice,"""Aus""-Schalter",
shute bolt,crémone,Kremone,
shutter,hausse,Verschlusstafel,
shutter,volet de radiateur,Kühlerjalousie,
shutter door,porte à volets articulés,Rolladentuer,
shuttering,étayage,Abstuetzung,
shutting-off device,dispositif de coupure,Absperrvorrichtung,
shuttle valve,clapet-navette,Wechselventil,
shuttle valve,clapet-navette double,Doppelwechselventil,
shuttle valve,sélecteur de circuit,Wechselventil,
shuttle valve,tiroir navette,Wechselventil,
sickle servicer,affûteuse de lames,Schleifmaschine für Mähmesser,
sickness insurance institute,Caisse de maladie,Krankenkasse,
side acting hydraulic lift,ascenseur hydraulique à vérin latéral,Aufzug mit hydraulischem Antrieb und seitlich angeordneten Hebern,
side airbag,coussin gonflable latéral,Seitenairbag,
side approach,distance d'approche d'un pont roulant,Katzanfahrmass,
side bar,barre latérale,Querträger,
side bracing,renfort latéral,Seitenverstrebung,
side by side assembly,embiellage côte à côte,Mehrfachpleuelstangen,
side camshaft,arbre à cames latéral,seitenliegende Nockenwelle,
side channel pump,pompe à canal latéral,Seitenkanal/pumpe,
side channel spillway,évacuateur latéral avec canal d'évacuation parallèle au déversoir,seitlicher Ueberlauf,
side curtains,rideaux latéraux,Seitenvorhänge,
side discharge conveyor,élévateur à déchargement sur le côté,Höhenförderer mit seitlicher Entladung,
side door,porte latérale,Seitentür,
side dressing,dressage,Zurichten,
side dumping truck,chariot à bras à benne basculante,Gleisloser Muldenkipper,
side entry segmental type pump,pompe à corps segmenté à entrée latérale,Glieder(gehaeuse)/pumpe mit seitlichem Eintritt,
side frame,membrure,Spant,
side gear,planétaire de différentiel,Umlaufrad,
side head,chariot latéral,Seitensupport,
side milling,fraisage à surfacer en bout,Walzstirnfräsen,
side milling cutter,fraise à surfacer en bout,Walzenstirnfräser,
side milling cutter,fraise trois tailles,Scheibenfräser,
side mounting,fixations latérales,seitliche Befestigung,
side panel,panneau de finition,Endplatte,
side pannels,panneaux latéraux,Seitenwände,
side pitching,enrochement de protection latérale,Boeschungsbefestigung,
side power take-off,prise de force latérale,seitliche Zapfwelle,
side rod,tige d'accouplement,Kupplungstange,
side rod-drive,commande par bielle,Stangenantrieb,
side screw,hélice latérale,Seitenschraube,
side seam,joint latéral,Seitennaht,
side shield,protège-plantes,Schutzscheibe,
side shift,tablier porte-fourche à déplacement latéral,Seitenschieber,
side stay-bolt,entretoise des parois latérales,Seitenstehbolzen,
side suction,rivotage,Schnittbreitenverstellung,
side thrust,réaction latérale,seitliche Gegenwirkung,
side thrust,réaction latérale,seitliche Reaktion,
side thrust blade,sabot stabilisateur,Stabilisierblatt,
side valve engine,moteur à soupapes latérales,seitengesteuerter Motor,
side view,vue de profil,Seitenansicht,
side walls,piédroit,Seitenwände,
side weir,déversoir latéral,Streichwehr,
side window,fenêtre latérale,Seitenfenster,
side-boomcrane,grue latérale,Rohrverlegegeraet,
side-loading fork-lift truck,chariot élévateur à fourche transversale,Seitenstapler,
side-loading truck,chariot à prise latérale,Quergabelstabler,
side-loading truck,chariot à prise latérale,Quergabelstapler,
side-sealed bag,sachet à fond plat à joints soudés,Siegelrandbeutel,
side-shifter,translateur latéral,Seitenschieber,
side-valve,soupape latérale,untengesteuertes Ventil,
sideband attenuation,atténuation des bandes latérales,Amplitudenabschwächung,
sideboard,rehausse,Zwischenstück,
siderail,longeron du châssis,Seitenträger,
sidetone output test,controle d'ecoute,Empfangstest,
sidewalk lift,monte-charge de trottoir,Gehsteigaufzug,
sidewall break,éclat au flanc,Seitengummibruch,
sidewall rubber,gomme de flan,Seitenwandgummi,
siding,voie monorail suspendue,Abstellgleis,
Sidney gate,vanne à segment Sidney,Sydney-Verschluss,
sieve basket,bonne du tamis,Siebkorb,
sieve element,tissu pour tamis,Siebeinsatz,
sieve gauge,ouverture d'un tamis,Siebdurchmesser,
sieve with oblong holes,tamis à mailles oblongues,Langlochsieb,
sieve with round holes,tamis à mailles circulaires,Rundlochsieb,
sight,guidon de visée,Visierkorn,
sight feed oil cup,graisseur à débit visible,Sichtlöler,
sight glass,voyant,Schauglas,
sight gravity feed oiler,graisseur compte-gouttes,Öltropfapparat,
sight guard,cache,Sichtblende,
sight hole,regard,Schauloch,
sight oil indicator,niveau d'huile,Ölstandzeiger,
sight reticule,réticule de visée,Visierfadenkreuz,
sight steering,pilotage de lunette,Visier-Steuerung,
sight-,à vue,täglich fällig und mit Laufzeit bis zu einem Monat,
sigma of Thoma,sigma de Thoma,Thomasche Kavitationszahl,
sign(badge),marque distinctive,Unterscheidungszeichen,
signal,affichage de position,Anschlagstellung,
signal conditioner board,platine de conditionneur,Signal-Aufbereiterplatine,
signal lever,levier de signal,Signalhebel,
signal oil,pétrole lampant,Leuchtöl,
signal-horn,trompe à signaux,Hupe,
signal/noise ratio,écart entre signal et bruit,Verhältnis des Nutz- zum Rauschsignal,
significance,portée,Tragweite,
silage blower,souffleuse à fourrage,Häckselgebläse,
silage compacting machine,compacteuse de fourrage,Presseinrichtung,
silage knife,désileuse à couteau vibrant,Silagestecher,
silencer,silencieux,Schalldämpfer,
silencer cooled by a forced draught,refroidissement du silencieux par soufflage d'air,Kühlung des Schalldämpfers durch einen künstlichen Luftstrom,
silencing lobe,auget de silencieux,Schalldämpferklappe,
silent chain,chaîne à dents inversées,geräuschlose Zahnkette,
silicagel container,bouteille de silicagel,Kieselgelflasche,
siliceous earth filter,filtre à kieselguhr,Kieselgurfilter,
silicone resin,résine de silicone,Siliconharz,
silkworm rearer,sériciculteur,Seidenraupenzuechter,
sill angle,cornière de seuil,Schwellenwinkeleisen,
sill covering,seuil de la cabine,Kabinenschwelle,
silo auger conveyor,élévateur pour cellules à grains,Zellenbeschickungs-Förderer,
silo unloader,désileuse,Silogefräse,
silo-wagon for the conveyance of traffic in powder form,wagon-silo pour matières pulvérulentes,Staubbehälterwagen,
silos for confined atmosphere storage,silos pour le stockage dit en atmosphère confiée,Silos zur Speicherung in einer Schutzatmosphaere,
silt excluder,dispositif pour l'élimination de sédiments,Sinkstoffabscheider,
silver-shear fit,ajustement auto-calibre,selbstkalibrierender Sitz,
simple broach drilling machine,perceuse monobroche,Einspindelmachine,
simple lifting bucket,benne ordinaire,gewoehnlicher Kuebel,
simple pressure vessel,récipient à pression simple,einfacher Druckbehälter,
simplex,simplex,Simplex,
simplex burner,brûleur simple,Simplexbrenner,
simplex lap winding,enroulement imbriqué parallèle simple,einfache Schleifenwicklung,
simplex wave winding,enroulement ondulé série,einfache Wellenwicklung,
simulation chamber,chambre de simulation,Simulationskammer,
simulator's terminal block,bornier du simulateur,Ausgangsklemme des Simulators,
sine-wave alternating current,courant alternatif de forme sinusoïdale,sinusförmige Wechselspannung,
single,rallonge,Stange,
single acting clutch,embrayage à disque à simple effet,einfachwirkende Kupplung,
single acting compressor,compresseur à simple effet,einfachwirkender Verdichter,
single acting cylinder hyraulic tapping,prise de pression par vérins à simple effet,Anschluß für einfachwirkende Zusatzsteuergeräte,
single acting engine,moteur à simple effet,einfachwirkende Maschine,
single acting gravity return cylinder,vérin à simple effet - retour par gravité,einfachwirkender Zylinder mit Schwerkraftrücklauf,
single acting hand pump,pompe à main à simple effet,einfachwirkende Handpumpe,
single acting intensifier,multiplicateur de pression à simple effet,einfachwirkender Druckübersetzer,
single acting shaft,arbre à simple effet,einfachwirkende Achse,
single acting solenoid,électro-aimant à simple action,einfachwirkender Elektromagnet,
single acting spring return cylinder,vérin à rappel par ressort,einfachwirkender Zylinder mit Federrückstellung,
single basin double tide operation,cycle à un bassin et double effet,Einbeckenanlage für Duplexbetrieb,
single basin ebb tide operation,cycle à un bassin au vidage,Einbeckenanlage zur Energiegewinnung nur bei Ebbstrom,
single block,poulie simple,einscheibiger Block,
single block mode of operation,fonctionnement bloc par bloc,Einzelsatzbetrieb,
single button collective,collective à un bouton,richtungsunempfindliche Sammelsteuerung,
single cavity die,moule à une empreinte,Einfachform,
single cell construction,mode de construction monocellulaire,einzellige Bauweise,
single chain elevator,élévateur monochaîne,Einketten-Höhenförderer,
single chamber brake-cylinder:two chamber brake-cylinder,cylindre de frein à une chambre:cylindre de frein à deux chambres,Einkammerbremszylinder:Zweikammerbremszylinder,
single coil spring lock washer,rondelle à ressort,glatter Federring,
single compressor,compresseur simple,einstufiger Verdichter,
single control,simple effet,einfache Wirkung,
single curvature blade,aube à simple courbure,einfach gekruemmte Schaufel,
single cut file,lime à une seule face taillée,einseitige Feile,
single cylinder motor,moteur à un cylindre,Einzylinder-Motor,
single duct air conditioning system,système de conditionnement d'air à un conduit,Einkanalsystem,
single effect ebb tide generation,cycle à simple effet au vidage,einfach wirkendes Kraftwerk zur Energiegewinnung nur bei Ebbstrom,
single effect flood operation,cycle à simple effet au remplissage,einfach wirkendes Kraftwerk zur Energiegewinnung nur bei Flutstrom,
single engagement,conduite par un profil,Einzeleingriff,
single engine,monoréacteur,Einzeltriebwerk,
single engine go-around,remise des gaz avec un seul moteur,Durchstarten mit einem Triebwerk,
single entry compressor,compresseur à entrée unique,einflutiger Verdichter,
single face four-way entry pallet,palette en bois non reversible à quatre entrées,Vierweg-Palette mit Deckblatt,
single face two-way entry metal pallet,palette métallique non reversible à deux entrées,Zweiweg-Stahlpalette mit einfachem Boden,
single face two-way entry pallet,palette en bois non reversible à 2 entrées,Zweiweg-Holzpalette,
single flange rail wheel,galet à boudin,Laufrad mit Spurkranz,
single fluid intensifier,multiplicateur de pression mono-fluide,Druckübersetzer für dieselben Druckmittel,
single grain,propulseur à poudre monobloc,einteiliger Treibsatz,
single hook,crochet simple,einfacher Lasthaken,
single item pick-up device,dispositif de prise à l'unité des envois,Vereinzelungsvorrichtung,
single layer of rubber,pommage,Einschichtgummierung,
single layer winding,enroulement à une seule couche,Einschichtwicklung,
single leaf spring,ressort à lame simple,Blattfeder mit einfachem Blatt,
single lever level luffing jib crane,grue électrique à flèche droite de relevage,Wippkran,
single lever operation control,conduite par levier unique,Einhebelschaltung,
single line principle of operation,système à circuit unique,Einleitungssystem,
single phase brake magnet,électro-aimant de frein à courant monophasé,Einphasenstrombremsmagnet,
single phase motor,moteur monophasé,Einphasenmotor,
single phase motor,moteur monophasé,Einphasenmotor,
single phase supply,alimentation monophasée,Einphasennetz,
single pin-type spanner wrench,clé à griffe,Hakenschlüssel mit Zapfen,
single plate clutch,embrayage à disque unique,Einscheibenkupplung,
single plunger pump,pompe à piston-plongeur mono-cylindrique,Einplunger/pumpe,
single point diamond turning,tournage à pointe de diamant unique,Einpunkt-Diamantdrehen,
single pole spark plug,bougie unipolaire,einpolige Kerze,
single portion packing machine,machine à emballer à la portion,Portionsverpackungsmaschine,
single pump,pompe simplex à action directe,Simplex/pumpe,
single reduction gear,engrenage à simple réduction,einfaches Untersetzungsgetriebe,
single rod cylinder,vérin à simple tige,Zylinder mit einseitiger Kolbenstange,
single roll mill,broyeur monocylindrique,Einwalzwerk,
single row ball bearing,roulement à une rangee de billes,einreihiges Kugellager,
single row terminal block,barrette monobloc a un rang,einreihige Klemmenleiste,
single service pack,emballage-ration,Portionsverpackung,
single shaft engine,moteur à arbre unique,Einwellentriebwerk,
single shear joint,joint à recouvrement,einschnittige Überlappungsverbindung,
single shot intensifier,multiplicateur de pression à simple action,einfachwirkender Druckübersetzer für Einzelhübe,
